AKPAR,ValidationType,AddressLine1,AddressLine2,StreetNumberFrom,StreetNumberTo,City,State,ZipCode
185575,E,3 GROVES ST,,,,CRAMERTON,NC,28032
185729,E,5933 WILKINSON BLVD,,,,BELMONT,NC,28012
185730,E,5939 WILKINSON BLVD,,,,BELMONT,NC,28012
185732,E,5945 WILKINSON BLVD,,,,BELMONT,NC,28012
185894,E,5932 WILKINSON BLVD,,,,BELMONT,NC,28012
185895,E,5938 WILKINSON BLVD,,,,BELMONT,NC,28012
185896,E,111 HUBBARD ST,,,,BELMONT,NC,28012
185926,E,6016 WILKINSON BLVD,,,,BELMONT,NC,28012
186015,E,408 ORCHARD LN,,,,BELMONT,NC,28012
186018,E,414 ORCHARD LN,,,,BELMONT,NC,28012
186020,E,412 ORCHARD LN,,,,BELMONT,NC,28012
186033,E,6112 WILKINSON BLVD,,,,BELMONT,NC,28012
186034,E,6116 WILKINSON BLVD,,,,BELMONT,NC,28012
186669,E,790 EAGLE RD,,,,BELMONT,NC,28012
186670,E,788 EAGLE RD,,,,BELMONT,NC,28012
186671,E,786 EAGLE RD,,,,BELMONT,NC,28012
186672,E,792 EAGLE RD,,,,BELMONT,NC,28012
186673,E,794 EAGLE RD,,,,BELMONT,NC,28012
188539,E,7018 DOLPHIN ST,,,,GASTONIA,NC,28056
188542,E,7030 DOLPHIN ST,,,,GASTONIA,NC,28056
188544,E,310 HAMRICK RD,,,,CRAMERTON,NC,28032
188545,E,302 HAMRICK RD,,,,CRAMERTON,NC,28032
188555,E,306 HAMRICK RD,,,,CRAMERTON,NC,28032
188695,E,4253 SOUTH NEW HOPE RD,,,,GASTONIA,NC,28056
188696,E,4255 SOUTH NEW HOPE RD,,,,GASTONIA,NC,28056
189077,E,712 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189078,E,710 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189080,E,905 HOKE TRL,,,,CRAMERTON,NC,28032
189081,E,907 HOKE TRL,,,,CRAMERTON,NC,28032
189082,E,909 HOKE TRL,,,,CRAMERTON,NC,28032
189085,E,914 HOKE TRL,,,,CRAMERTON,NC,28032
189086,E,912 HOKE TRL,,,,CRAMERTON,NC,28032
189087,E,910 HOKE TRL,,,,CRAMERTON,NC,28032
189088,E,908 HOKE TRL,,,,CRAMERTON,NC,28032
189089,E,906 HOKE TRL,,,,CRAMERTON,NC,28032
189090,E,904 HOKE TRL,,,,CRAMERTON,NC,28032
189091,E,902 HOKE TRL,,,,CRAMERTON,NC,28032
189092,E,900 HOKE TRL,,,,CRAMERTON,NC,28032
189093,E,706 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189094,E,803 SCOTTY CT,,,,CRAMERTON,NC,28032
