AKPAR,ValidationType,AddressLine1,AddressLine2,StreetNumberFrom,StreetNumberTo,City,State,ZipCode
185570,E,245 MARKET ST,,,,CRAMERTON,NC,28032
185575,E,3 GROVES ST,,,,CRAMERTON,NC,28032
185576,E,243 MARKET ST,,,,CRAMERTON,NC,28032
185729,E,5933 WILKINSON BLVD,,,,BELMONT,NC,28012
185730,E,5939 WILKINSON BLVD,,,,BELMONT,NC,28012
185732,E,5945 WILKINSON BLVD,,,,BELMONT,NC,28012
185894,E,5932 WILKINSON BLVD,,,,BELMONT,NC,28012
185895,E,5938 WILKINSON BLVD,,,,BELMONT,NC,28012
185896,E,111 HUBBARD ST,,,,BELMONT,NC,28012
185926,E,6016 WILKINSON BLVD,,,,BELMONT,NC,28012
186015,E,408 ORCHARD LN,,,,BELMONT,NC,28012
186018,E,414 ORCHARD LN,,,,BELMONT,NC,28012
186020,E,412 ORCHARD LN,,,,BELMONT,NC,28012
186033,E,6112 WILKINSON BLVD,,,,BELMONT,NC,28012
186034,E,6116 WILKINSON BLVD,,,,BELMONT,NC,28012
186669,E,790 EAGLE RD,,,,BELMONT,NC,28012
186670,E,788 EAGLE RD,,,,BELMONT,NC,28012
186671,E,786 EAGLE RD,,,,BELMONT,NC,28012
186672,E,792 EAGLE RD,,,,BELMONT,NC,28012
186673,E,794 EAGLE RD,,,,BELMONT,NC,28012
188539,E,7018 DOLPHIN ST,,,,GASTONIA,NC,28056
188542,E,7030 DOLPHIN ST,,,,GASTONIA,NC,28056
188544,E,310 HAMRICK RD,,,,CRAMERTON,NC,28032
188545,E,302 HAMRICK RD,,,,CRAMERTON,NC,28032
188555,E,306 HAMRICK RD,,,,CRAMERTON,NC,28032
188695,E,4253 S NEW HOPE RD,,,,GASTONIA,NC,28056
188696,E,4255 S NEW HOPE RD,,,,GASTONIA,NC,28056
189077,E,712 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189078,E,710 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189080,E,905 HOKE TRL,,,,CRAMERTON,NC,28032
189081,E,907 HOKE TRL,,,,CRAMERTON,NC,28032
189082,E,909 HOKE TRL,,,,CRAMERTON,NC,28032
189085,E,914 HOKE TRL,,,,CRAMERTON,NC,28032
189086,E,912 HOKE TRL,,,,CRAMERTON,NC,28032
189087,E,910 HOKE TRL,,,,CRAMERTON,NC,28032
189088,E,908 HOKE TRL,,,,CRAMERTON,NC,28032
189089,E,906 HOKE TRL,,,,CRAMERTON,NC,28032
189090,E,904 HOKE TRL,,,,CRAMERTON,NC,28032
189091,E,902 HOKE TRL,,,,CRAMERTON,NC,28032
189092,E,900 HOKE TRL,,,,CRAMERTON,NC,28032
189093,E,706 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189094,E,803 SCOTTY CT,,,,CRAMERTON,NC,28032
189095,E,805 SCOTTY CT,,,,CRAMERTON,NC,28032
189096,E,807 SCOTTY CT,,,,CRAMERTON,NC,28032
189097,E,809 SCOTTY CT,,,,CRAMERTON,NC,28032
189098,E,811 SCOTTY CT,,,,CRAMERTON,NC,28032
189099,E,813 SCOTTY CT,,,,CRAMERTON,NC,28032
189100,E,815 SCOTTY CT,,,,CRAMERTON,NC,28032
189101,E,817 SCOTTY CT,,,,CRAMERTON,NC,28032
189102,E,812 SCOTTY CT,,,,CRAMERTON,NC,28032
189103,E,810 SCOTTY CT,,,,CRAMERTON,NC,28032
189104,E,808 SCOTTY CT,,,,CRAMERTON,NC,28032
189105,E,806 SCOTTY CT,,,,CRAMERTON,NC,28032
189106,E,804 SCOTTY CT,,,,CRAMERTON,NC,28032
189107,E,802 SCOTTY CT,,,,CRAMERTON,NC,28032
189108,E,704 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189109,E,702 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189110,E,700 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189111,E,701 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189112,E,703 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189113,E,705 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189114,E,707 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189115,E,709 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189116,E,711 HANNA WOODS DR,,,,CRAMERTON,NC,28032
