AKPAR,ValidationType,AddressLine1,AddressLine2,StreetNumberFrom,StreetNumberTo,City,State,ZipCode
185570,E,245 MARKET ST,,,,CRAMERTON,NC,28032
185576,E,243 MARKET ST,,,,CRAMERTON,NC,28032
194641,E,200 MARKET ST,,,,CRAMERTON,NC,28032
194643,E,202 MARKET ST,,,,CRAMERTON,NC,28032
194644,E,210 MARKET ST,,,,CRAMERTON,NC,28032
194646,E,1092 A CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194647,E,1092 B CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194648,E,1092 C CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194649,E,1091 A CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194650,E,1091 B CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194651,E,1091 C CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194652,E,1091 D CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194653,E,1091 E CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194654,E,1091 F CRAMERTON VILLAGE DR,,,,CRAMERTON,NC,28032
194655,E,4001 F WATERSIDE LN,,,,CRAMERTON,NC,28032
194656,E,4001 E WATERSIDE LN,,,,CRAMERTON,NC,28032
194657,E,4001 D WATERSIDE LN,,,,CRAMERTON,NC,28032
194658,E,4001 C WATERSIDE LN,,,,CRAMERTON,NC,28032
194659,E,4001 B WATERSIDE LN,,,,CRAMERTON,NC,28032
194660,E,4001 A WATERSIDE LN,,,,CRAMERTON,NC,28032
194661,E,4000 A WATERSIDE LN,,,,CRAMERTON,NC,28032
194662,E,4000 B WATERSIDE LN,,,,CRAMERTON,NC,28032
194663,E,4000 C WATERSIDE LN,,,,CRAMERTON,NC,28032
194664,E,4000 D WATERSIDE LN,,,,CRAMERTON,NC,28032
194665,E,4000 E WATERSIDE LN,,,,CRAMERTON,NC,28032
194666,E,4000 F WATERSIDE LN,,,,CRAMERTON,NC,28032
194667,E,3005 D MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
194668,E,3005 C MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
194669,E,3005 B MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
194670,E,3005 A MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
194671,E,3009 D MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
194672,E,3009 C MISTY HARBOR CIR,,,,CRAMERTON,NC,28032
